Gene Species Taxon Signature
0 GB_GCA_030054135.1 GB_GCA_030054135.1 0.00785536728236604
0 GB_GCA_002325765.1 GB_GCA_002325765.1 0.00785536728236604
0 GB_GCA_028820405.1 GB_GCA_028820405.1 0.003035359426481559
0 GB_GCA_029851365.1 GB_GCA_029851365.1 0.00785536728236604
0 GB_GCA_029851385.1 GB_GCA_029851385.1 0.00785536728236604
0 GB_GCA_029851345.1 GB_GCA_029851345.1 0.00785536728236604
0 RS_GCF_002682985.1 RS_GCF_002682985.1 0.00785536728236604
0 RS_GCF_009805595.3 RS_GCF_009805595.3 0.006884593202337561
0 GB_GCA_014238775.1 GB_GCA_014238775.1 0.002473379877558197
0 GB_GCA_029851245.1 GB_GCA_029851245.1 0.003027697625805479
0 GB_GCA_001730065.1 GB_GCA_001730065.1 0.003027697625805479
0 GB_GCA_029851325.1 GB_GCA_029851325.1 0.003027697625805479
0 GB_GCA_026713605.1 GB_GCA_026713605.1 0.002473379877558197
0 GB_GCA_002727435.1 GB_GCA_002727435.1 0.003027697625805479
0 GB_GCA_029851305.1 GB_GCA_029851305.1 0.003027697625805479
0 GB_GCA_014238395.1 GB_GCA_014238395.1 0.0019030778904289016
0 GB_GCA_000147015.1 GB_GCA_000147015.1 0.002473379877558197
0 GB_GCA_902620405.1 GB_GCA_902620405.1 0.002473379877558197
0 GB_GCA_013911545.1 GB_GCA_013911545.1 0.002473379877558197
0 RS_GCF_000319365.1 RS_GCF_000319365.1 0.002473379877558197
0 GB_GCA_021849125.1 GB_GCA_021849125.1 0.0019030778904289016
0 GB_GCA_014238475.1 GB_GCA_014238475.1 0.0019030778904289016
0 GB_GCA_958295675.1 GB_GCA_958295675.1 0.0019030778904289016
0 RS_GCF_017656055.1 RS_GCF_017656055.1 0.002473379877558197
0 GB_GCA_029851145.1 GB_GCA_029851145.1 0.002473379877558197
0 RS_GCF_000281235.1 RS_GCF_000281235.1 0.002473379877558197
0 RS_GCF_000477415.1 RS_GCF_000477415.1 0.002473379877558197
0 GB_GCA_029851225.1 GB_GCA_029851225.1 0.002473379877558197
0 RS_GCF_000179035.2 RS_GCF_000179035.2 0.002473379877558197
0 GB_GCA_028286945.1 GB_GCA_028286945.1 0.001411340690456203
0 GB_GCA_900299275.1 GB_GCA_900299275.1 0.001411340690456203
0 GB_GCA_023269085.1 GB_GCA_023269085.1 0.001411340690456203
