model1,model2,Q_params correlation,state_freq correlation,Q_matrix correlation,Q_params distance,state_freq distance,Q_matrix distance
p__Acidobacteriota_250_2,p__Acidobacteriota_250_2,1.0,1.0,1.0,0.0,0.0,0.0
p__Acidobacteriota_250_2,p__Acidobacteriota_200_2,0.999563141350515,0.9995008410100525,0.9998954537707365,0.004155210200431117,0.005040952687736715,0.08608289219446866
p__Acidobacteriota_250_2,p__Acidobacteriota_50_2,0.9829437029457423,0.9902545066061172,0.9923809641011845,0.025403961661389654,0.02251258874496667,0.7160105817243567
p__Acidobacteriota_250_2,p__Acidobacteriota_150_2,0.9969569711838563,0.9977163796338102,0.9987766024946517,0.010852381382724563,0.01109844223303433,0.30353616614170037
p__Acidobacteriota_250_2,p__Acidobacteriota_100_2,0.9940218132928309,0.99596198896779,0.9977151795725264,0.015179036294750084,0.014221158708065946,0.4075876571934504
p__Acidobacteriota_250_2,p__Acidobacteriota_lt_250_3,0.9945634052667817,0.9953473776836478,0.9987234870670604,0.015301353941271214,0.018195847658188397,0.3354268190114017
p__Acidobacteriota_250_2,p__Acidobacteriota_lt_160_2,0.9982010466365852,0.9968434200740222,0.9991899969120206,0.00831281124847145,0.01168444132168928,0.22748027013098654
p__Acidobacteriota_250_2,p__Acidobacteriota_lt_30_2,0.9806712815407999,0.9886911324951002,0.9909508512148889,0.027078842742314948,0.0232692679730154,0.7724891304194791
p__Acidobacteriota_250_2,p__Acidobacteriota_lt_50_2,0.992306110310617,0.9945292092556405,0.9968880975340922,0.017120763979373132,0.015841380716339094,0.46201088775583304
p__Acidobacteriota_250_2,p__Acidobacteriota_lt_100_2,0.9986854036371254,0.9974809393892882,0.9995958790621321,0.007201261546869958,0.010170311352166173,0.17242722382636455
p__Acidobacteriota_200_2,p__Acidobacteriota_250_2,0.999563141350515,0.9995008410100525,0.9998954537707365,0.004155210200431117,0.005040952687736715,0.08608289219446866
p__Acidobacteriota_200_2,p__Acidobacteriota_200_2,1.0,0.9999999999999998,1.0,0.0,0.0,0.0
p__Acidobacteriota_200_2,p__Acidobacteriota_50_2,0.9870495369035552,0.9936599702936011,0.9937546208286057,0.022025716535625357,0.018039773612770198,0.6441754812873731
p__Acidobacteriota_200_2,p__Acidobacteriota_150_2,0.9985177876779564,0.9991893847925698,0.9992619344657069,0.007508649401644193,0.006583708833172989,0.23493397765081472
p__Acidobacteriota_200_2,p__Acidobacteriota_100_2,0.9963888800252233,0.9980854153016097,0.9984005072383039,0.011720653972109562,0.009621273772219554,0.3389927200983994
p__Acidobacteriota_200_2,p__Acidobacteriota_lt_250_3,0.9917881925370854,0.9938862393696709,0.9982153227140974,0.018699027593165322,0.02120008641491822,0.3950644140384642
p__Acidobacteriota_200_2,p__Acidobacteriota_lt_160_2,0.9974426054275954,0.9956633159674505,0.9989280313204489,0.00981560423340466,0.01301301406285262,0.2572553487649863
p__Acidobacteriota_200_2,p__Acidobacteriota_lt_30_2,0.9852343952615026,0.9926126584037932,0.9924571524142816,0.023580417305864396,0.018561464489635512,0.7006030761351392
p__Acidobacteriota_200_2,p__Acidobacteriota_lt_50_2,0.9948986754216257,0.997106620268091,0.9976796455155681,0.013854598132570268,0.011197524324599615,0.39505389913700445
